das,close
300.00,-0.11
300.006,-0.11
300.008,-0.115
300.011,-0.115
300.014,-0.11
300.017,-0.1
300.019,-0.1
300.022,-0.105
300.025,-0.115
300.028,-0.1
300.031,-0.105
300.033,-0.09
300.036,-0.08
300.039,-0.07
300.042,-0.065
300.044,-0.08
300.047,-0.07
300.05,-0.09
300.053,-0.09
300.056,-0.075
300.058,-0.06
300.061,-0.05
300.064,-0.045
300.067,-0.055
300.069,-0.065
300.072,-0.07
300.075,-0.04
300.078,-0.01
300.081,0.04
300.083,0.045
300.086,-0.01
300.089,-0.1
300.092,-0.15
300.094,-0.18
300.097,-0.18
300.1,-0.16
300.103,-0.14
300.106,-0.13
300.108,-0.14
300.111,-0.16
300.114,-0.19
300.117,-0.2
300.119,-0.195
300.122,-0.175
300.125,-0.16
300.128,-0.14
300.131,-0.125
300.133,-0.12
300.136,-0.15
300.139,-0.17
300.142,-0.175
300.144,-0.15
300.147,-0.16
300.15,-0.175
300.153,-0.185
300.156,-0.19
300.158,-0.165
300.161,-0.165
300.164,-0.175
300.167,-0.175
300.169,-0.175
300.172,-0.16
300.175,-0.155
300.178,-0.155
300.181,-0.15
300.183,-0.15
300.186,-0.16
300.189,-0.14
300.192,-0.13
300.194,-0.135
300.197,-0.14
300.2,-0.155
300.203,-0.155
300.206,-0.15
300.208,-0.155
300.211,-0.16
300.214,-0.185
300.217,-0.19
300.219,-0.21
300.222,-0.2
300.225,-0.165
300.228,-0.105
300.231,-0.025
300.233,0.055
300.236,0.11
300.239,0.185
300.242,0.285
300.244,0.4
300.247,0.5
300.25,0.575
300.253,0.645
300.256,0.725
300.258,0.83
300.261,0.9
300.264,0.945
300.267,0.945
300.269,0.89
300.272,0.78
300.275,0.63
300.278,0.41
300.281,0.095
300.283,-0.17
300.286,-0.345
300.289,-0.435
300.292,-0.46
300.294,-0.43
300.297,-0.38
300.3,-0.345
300.303,-0.3
300.306,-0.28
300.308,-0.25
300.311,-0.23
300.314,-0.215
300.317,-0.225
300.319,-0.25
300.322,-0.23
300.325,-0.22
300.328,-0.21
300.331,-0.21
300.333,-0.215
300.336,-0.215
300.339,-0.22
300.342,-0.18
300.344,-0.165
300.347,-0.145
300.35,-0.155
300.353,-0.16
300.356,-0.145
300.358,-0.145
300.361,-0.16
300.364,-0.175
300.367,-0.19
300.369,-0.18
300.372,-0.15
300.375,-0.145
300.378,-0.125
300.381,-0.12
300.383,-0.13
300.386,-0.13
300.389,-0.145
300.392,-0.135
300.394,-0.12
300.397,-0.125
300.4,-0.145
300.403,-0.14
300.406,-0.13
300.408,-0.115
300.411,-0.095
300.414,-0.09
300.417,-0.08
300.419,-0.09
300.422,-0.095
300.425,-0.085
300.428,-0.08
300.431,-0.07
300.433,-0.055
300.436,-0.07
300.439,-0.06
300.442,-0.055
300.444,-0.045
300.447,-0.03
300.45,-0.035
300.453,-0.04
300.456,-0.02
300.458,0.005
300.461,0.02
300.464,0.03
300.467,0.035
300.469,0.035
300.472,0.04
300.475,0.045
300.478,0.04
300.481,0.01
300.483,0.005
300.486,0.005
300.489,0.015
300.492,0.02
300.494,0.04
300.497,0.05
300.5,0.04
300.503,0.01
300.506,0.005
300.508,0.015
300.511,0.025
300.514,0.015
300.517,0
300.519,-0.01
300.522,0.005
300.525,0.02
300.528,0.05
300.531,0.04
300.533,0.025
300.536,-0.005
300.539,-0.005
300.542,0.02
300.544,0.04
300.547,0.035
300.55,0.015
300.553,-0.005
300.556,-0.01
300.558,-0.005
300.561,-0.005
300.564,-0.005
300.567,-0.015
300.569,-0.025
300.572,-0.03
300.575,-0.025
300.578,-0.035
300.581,-0.045
300.583,-0.06
300.586,-0.065
300.589,-0.07
300.592,-0.09
300.594,-0.09
300.597,-0.075
300.6,-0.065
300.603,-0.085
300.606,-0.115
300.608,-0.13
300.611,-0.12
300.614,-0.115
300.617,-0.145
300.619,-0.15
300.622,-0.15
300.625,-0.15
300.628,-0.165
300.631,-0.155
300.633,-0.16
300.636,-0.165
300.639,-0.15
300.642,-0.17
300.644,-0.17
300.647,-0.19
300.65,-0.195
300.653,-0.2
300.656,-0.185
300.658,-0.21
300.661,-0.21
300.664,-0.21
300.667,-0.205
300.669,-0.22
300.672,-0.225
300.675,-0.23
300.678,-0.235
300.681,-0.245
300.683,-0.24
300.686,-0.245
300.689,-0.22
300.692,-0.21
300.694,-0.21
300.697,-0.215
300.7,-0.215
300.703,-0.225
300.706,-0.205
300.708,-0.2
300.711,-0.2
300.714,-0.215
300.717,-0.21
300.719,-0.225
300.722,-0.245
300.725,-0.235
300.728,-0.245
300.731,-0.225
300.733,-0.235
300.736,-0.25
300.739,-0.24
300.742,-0.24
300.744,-0.22
300.747,-0.225
300.75,-0.255
300.753,-0.26
300.756,-0.255
300.758,-0.245
300.761,-0.235
300.764,-0.245
300.767,-0.225
300.769,-0.205
300.772,-0.2
300.775,-0.21
300.778,-0.2
300.781,-0.205
300.783,-0.2
300.786,-0.21
300.789,-0.21
300.792,-0.205
300.794,-0.2
300.797,-0.235
300.8,-0.24
300.803,-0.22
300.806,-0.205
300.808,-0.21
300.811,-0.22
300.814,-0.225
300.817,-0.21
300.819,-0.195
300.822,-0.175
300.825,-0.18
300.828,-0.17
300.831,-0.17
300.833,-0.18
300.836,-0.185
300.839,-0.185
300.842,-0.17
300.844,-0.17
300.847,-0.17
300.85,-0.175
300.853,-0.2
300.856,-0.225
300.858,-0.21
300.861,-0.145
300.864,-0.06
300.867,0.015
300.869,0.075
300.872,0.14
300.875,0.225
300.878,0.305
300.881,0.39
300.883,0.475
300.886,0.555
300.889,0.63
300.892,0.7
300.894,0.745
300.897,0.735
300.9,0.67
300.903,0.575
300.906,0.445
300.908,0.21
300.911,-0.09
300.914,-0.32
300.917,-0.46
300.919,-0.535
300.922,-0.55
300.925,-0.52
300.928,-0.465
300.931,-0.44
300.933,-0.42
300.936,-0.405
300.939,-0.36
300.942,-0.325
300.944,-0.295
300.947,-0.275
300.95,-0.275
300.953,-0.28
300.956,-0.27
300.958,-0.25
300.961,-0.23
300.964,-0.265
300.967,-0.28
300.969,-0.28
300.972,-0.245
300.975,-0.22
300.978,-0.205
300.981,-0.215
300.983,-0.205
300.986,-0.2
300.989,-0.2
300.992,-0.215
300.994,-0.24
300.997,-0.22
301,-0.22
301.003,-0.235
301.006,-0.215
301.008,-0.205
301.011,-0.185
301.014,-0.175
301.017,-0.19
301.019,-0.195
301.022,-0.205
301.025,-0.18
301.028,-0.165
301.031,-0.175
301.033,-0.185
301.036,-0.19
301.039,-0.17
301.042,-0.165
301.044,-0.165
301.047,-0.17
301.05,-0.17
301.053,-0.16
301.056,-0.165
301.058,-0.155
301.061,-0.15
301.064,-0.15
301.067,-0.15
301.069,-0.14
301.072,-0.14
301.075,-0.13
301.078,-0.09
301.081,-0.06
301.083,-0.065
301.086,-0.075
301.089,-0.075
301.092,-0.06
301.094,-0.04
301.097,-0.025
301.1,-0.025
301.103,-0.03
301.106,-0.02
301.108,-0.005
301.111,0.01
301.114,0.005
301.117,-0.005
301.119,-0.025
301.122,-0.04
301.125,-0.025
301.128,0.005
301.131,0.035
301.133,0.055
301.136,0.045
301.139,0.035
301.142,0.03
301.144,0.04
301.147,0.05
301.15,0.055
301.153,0.065
301.156,0.085
301.158,0.095
301.161,0.095
301.164,0.095
301.167,0.075
301.169,0.07
301.172,0.085
301.175,0.09
301.178,0.09
301.181,0.08
301.183,0.085
301.186,0.09
301.189,0.09
301.192,0.065
301.194,0.05
301.197,0.035
301.2,0.025
301.203,0.015
301.206,0.005
301.208,0.015
301.211,0.015
301.214,0.02
301.217,0
301.219,0
301.222,0.005
301.225,0.02
301.228,0.01
301.231,0
301.233,-0.03
301.236,-0.05
